豆瓣图书标签: 文学,余华 / 南海出版公司 / 1998-5 / 12.00元,活着,9.1,(153246人评价)
豆瓣图书标签: 文学,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,杀死一只知更鸟,9.2,(21444人评价)
豆瓣图书标签: 文学,[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元,红楼梦,9.6,(134837人评价)
豆瓣图书标签: 文学,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,我们仨,8.7,(92184人评价)
豆瓣图书标签: 文学,[哥伦比亚] 加西亚·马尔克斯 / 李静 / 南海出版公司 / 2016-4-1 / 55.00元,活着为了讲述,9.0,(4165人评价)
豆瓣图书标签: 文学,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,围城,8.9,(204259人评价)
豆瓣图书标签: 文学,[美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元,斯通纳,8.8,(17315人评价)
豆瓣图书标签: 小说,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,我的天才女友,8.4,(11506人评价)
豆瓣图书标签: 文学,[美] 库尔特·冯内古特 / 董乐山 / 百花洲文艺出版社 / 2017-6 / 38.00元,囚鸟,8.0,(1983人评价)
豆瓣图书标签: 散文,[明] 张岱 / 夏咸淳、程维荣 校注 / 上海古籍出版社 / 2001-5 / 25.00元,陶庵梦忆 西湖梦寻,9.2,(2838人评价)
豆瓣图书标签: 诗歌,[葡] 费尔南多·佩索阿 / 程一身 / 人民文学出版社 / 2017-8 / 68.00元,坐在你身边看云,9.0,(148人评价)
豆瓣图书标签: 散文,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,目送,8.7,(89435人评价)
豆瓣图书标签: 散文,吴念真 / 译林出版社 / 2011-9 / 28.00元,这些人，那些事,8.8,(45027人评价)
豆瓣图书标签: 散文,（清）沈复 / 人民文学出版社 / 1999/1 / 5.70元,浮生六记,8.9,(19068人评价)
豆瓣图书标签: 散文,三毛 / 皇冠出版社 / 1976 / 160 TWD,撒哈拉的故事,9.0,(67986人评价)
豆瓣图书标签: 散文,丰子恺 / 江苏凤凰文艺出版社 / 2016-10 / 45元,活着本来单纯,8.7,(1811人评价)
豆瓣图书标签: 散文,黎戈 / 北京联合出版公司 / 2017-3 / 39.80,时间的果,8.3,(1370人评价)
豆瓣图书标签: 散文,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,瓦尔登湖,8.4,(23993人评价)
豆瓣图书标签: 散文,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,人间草木,9.0,(6298人评价)
豆瓣图书标签: 散文,简媜 / 九州出版社 / 2017-6 / 48.00元,我为你洒下月光,8.3,(502人评价)
豆瓣图书标签: 散文,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元,皮囊,7.6,(48286人评价)
豆瓣图书标签: 散文,[美] 约瑟夫·布罗茨基 / 刘文飞 / 上海译文出版社 / 2015-4 / CNY 58.00,悲伤与理智,8.6,(1704人评价)
豆瓣图书标签: 散文,韩松落 / 新经典文化/北京十月文艺出版社 / 2017-6 / 39.00元,我口袋里的星辰如沙砾,8.0,(239人评价)
豆瓣图书标签: 散文,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,孩子你慢慢来,8.8,(31489人评价)
豆瓣图书标签: 散文,刘亮程 / 春风文艺出版社 / 2006-1-1 / 28.00元,一个人的村庄,8.9,(7964人评价)
豆瓣图书标签: 散文,丰子恺 / 天地出版社 / 2017-7-6 / 49.80,此生多珍重,8.6,(534人评价)
豆瓣图书标签: 散文,汪曾祺 / 江西人民出版社 / 2016-11 / 52元,生活，是很好玩的,8.8,(1858人评价)
豆瓣图书标签: 散文,李娟 / 新星出版社 / 2012-6 / 29.80元,冬牧场,9.0,(9788人评价)
豆瓣图书标签: 散文,李娟 / 云南人民出版社 / 2010-7-1 / 22.00元,我的阿勒泰,8.8,(13337人评价)
豆瓣图书标签: 散文,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,我与地坛,9.0,(19225人评价)
